Full Index,ON Full,ON Variations,Similarity
47465,"Windows, doors and skylights shall meet the heat transfer performance requirements in Section 5.3.","Windows, doors and skylights shall meet the heat transfer performance requirements in Section 5.3.",1.0
47464,"Subflooring described in Sentence (2) shall conform to grade D-2 or D-3 in ANSI A208.1, ""Particleboard"".","Subflooring described in Sentence (2) shall conform to grade D-2 or D-3 in ANSI A208.1, ""Particleboard"".",1.0
44890,"Reinforcing steel shall conform to Grade 400 in CSA G30.18, ""Carbon Steel Bars for Concrete Reinforcement"".","Reinforcing steel shall conform to Grade 400 in CSA G30.18, ""Carbon Steel Bars for Concrete Reinforcement"".",1.0
50697,"This Section applies to flammable liquid and combustible liquid installations on piers and wharves, but does not include marine fuel dispensing stations.","This Section applies to flammable liquid and combustible liquid installations on piers and wharves, but does not include marine fuel dispensing stations.",1.0
49793,"If material alterations to a public spa or the equipment installed in a public spa affect the bottom slope, the water volume or the capacity of the water circulation system, the adversely affected portions shall comply with the requirements of this Division.","If material alterations to a public spa or the equipment installed in a public spa affect the bottom slope, the water volume or the capacity of the water circulation system, the adversely affected portions shall comply with the requirements of this Division.",1.0
47699,Hose stations required in Sentence (1) shall be located near an exit.,Hose stations required in Sentence (1) shall be located near an exit.,1.0
47700,Wood frame walls shall be tied to intersecting masonry walls with not less than 4.76 mm diam corrosion-resistant steel rods spaced not more than 900 mm o.c. vertically.,Wood frame walls shall be tied to intersecting masonry walls with not less than 4.76 mm diam corrosion-resistant steel rods spaced not more than 900 mm o.c. vertically.,1.0
45755,"Materials, components and assemblies separating dissimilar environments and assemblies exposed to the exterior, including their connections, that are subject to structural loads referred to in Article 5.2.2.1., shall,(a) transfer such loads to the building structure without adverse effects on the performance of other materials, components or assemblies, (b) not deflect to a degree that adversely affects the performance of other materials, components or assemblies, and (See Appendix A.) (c) be designed, and constructed according to that design, to accommodate, (i) the maximum relative structural movement that may reasonably be expected, and (ii) construction tolerances that may reasonably be expected. (See Appendix A.)","Materials, components and assemblies separating dissimilar environments and assemblies exposed to the exterior, including their connections, that are subject to structural loads referred to in Article 5.2.2.1., shall,(a) transfer such loads to the building structure without adverse effects on the performance of other materials, components or assemblies, (b) not deflect to a degree that adversely affects the performance of other materials, components or assemblies, and (See Appendix A.) (c) be designed, and constructed according to that design, to accommodate, (i) the maximum relative structural movement that may reasonably be expected, and (ii) construction tolerances that may reasonably be expected. (See Appendix A.)",1.0
49795,Return-air inlets shall not be installed in an enclosed room or crawl space that provides combustion air to a fuel-fired appliance.,Return-air inlets shall not be installed in an enclosed room or crawl space that provides combustion air to a fuel-fired appliance.,1.0
47698,"Except as permitted by Sentence 3.4.3.2.(4), the required exit width shall be cumulative if two or more exits converge.","Except as permitted by Sentence 3.4.3.2.(4), the required exit width shall be cumulative if two or more exits converge.",1.0
45143,"Mechanical ventilation devices shall conform to CSA C22.2 No. 113, ""Fans and Ventilators"".","Mechanical ventilation devices shall conform to CSA C22.2 No. 113, ""Fans and Ventilators"".",1.0
49796,"Except as provided in Sentence (2), absorption trenches shall be,(a) approximately the same length and not more than 30 m in length, (b) not less than 500 mm and not more than 1 000 mm in width, (c) not less than 600 mm and not more than 900 mm in depth, (d) centred not less than, (i) 1 600 mm apart where used in conjunction with, (A) a distribution pipe, (B) a Type I leaching chamber, or (C) a Type II leaching chamber constructed in leaching bed fill, or (ii) 2 400 mm apart where used in conjunction with a Type II leaching chamber, other than a Type II leaching chamber constructed in leaching bed fill, (e) located so that the bottom of the absorption trench is not less than 900 mm above the high ground water table, rock or soil with a percolation time of more than 50 minutes, and (f) backfilled, after the installation of the distribution pipe or leaching chamber with leaching bed fill, so as to ensure that after the leaching bed fill settles, the surface of the leaching bed will not form any depressions.","Except as provided in Sentence (2), absorption trenches shall be,(a) approximately the same length and not more than 30 m in length, (b) not less than 500 mm and not more than 1 000 mm in width, (c) not less than 600 mm and not more than 900 mm in depth, (d) centred not less than, (i) 1 600 mm apart where used in conjunction with, (A) a distribution pipe, (B) a Type I leaching chamber, or (C) a Type II leaching chamber constructed in leaching bed fill, or (ii) 2 400 mm apart where used in conjunction with a Type II leaching chamber, other than a Type II leaching chamber constructed in leaching bed fill, (e) located so that the bottom of the absorption trench is not less than 900 mm above the high ground water table, rock or soil with a percolation time of more than 50 minutes, and (f) backfilled, after the installation of the distribution pipe or leaching chamber with leaching bed fill, so as to ensure that after the leaching bed fill settles, the surface of the leaching bed will not form any depressions.",1.0
